URL,TITRE,QUANTITE,PRIX,PRIX_KILOS,VALEUR ÉNERGÉTIQUE (KJ),VALEUR ÉNERGÉTIQUE (KCAL),MATIÈRES GRASSES,ACIDES GRAS SATURÉS,GLUCIDES,SUCRES,PROTÉINES,SEL,FIBRES ALIMENTAIRES,VITAMINE D,CALCIUM,VITAMINE B6,ACIDES GRAS MONO-INSATURÉS,VITAMINE B12
https://www.carrefour.fr/p/yaourts-aux-fruits-jaunes-mixes-veloute-3033490004668?t=R04F06,Yaourts aux fruits jaunes mixés VELOUTE ,les 8 pots de 125g,2.35,2.35,395,94,2.9,2,13.5,13.1,3.4,0.14,,,0.118,,,
https://www.carrefour.fr/p/yaourts-bio-brasse-nature-vrai-3273220530153?t=R04F06,Yaourts bio brassé nature VRAI ,les 4 pots de 100 g,1.48,3.70,312,74,3.6,2.4,6,6,4.5,0.13,,,,,,
https://www.carrefour.fr/p/yaourts-bio-arome-vanille-vrai-3273220535462?t=R04F06,Yaourts bio arôme vanille VRAI ,les 4 pots de 125 g,1.50,3.00,369,87,1.8,1.2,14,14,3.8,0.1,,,,,,
https://www.carrefour.fr/p/yaourts-a-la-grecque-saveur-coco-yaos-3023290030776?t=R04F06,Yaourts à la grecque saveur coco YAOS ,les 4 pots de 125g,2.16,4.32,542,130,7.6,5.1,11.8,11.4,2.7,0.11,,,,,,
https://www.carrefour.fr/p/yaourts-0-mg-fruits-3023290474600?t=R04F06,Yaourts 0% MG fruits  ,les 12 pots de 125 g,1.99,1.33,168,40,0,0,5.5,5.3,4.3,0.13,,,,,,
https://www.carrefour.fr/p/yaourts-0-mg-fruits-3023290474600?t=R04F06,Yaourts 0% MG fruits  ,les 12 pots de 125 g,1.99,1.33,168,40,0,0,5.5,5.3,4.3,0.13,,,,,,
https://www.carrefour.fr/p/yaourts-a-boire-chocolat-carrefour-kids-3560071186364?t=R04F06,Yaourts à boire chocolat CARREFOUR KIDS ,les 4 bouteilles de 180g,1.39,1.93,351,83,1.8,1.1,13,12,3,0.1,,,,,,
https://www.carrefour.fr/p/yaourts-a-boire-nature-0-matiere-grasse-actimel-3033491326721?t=R04F06,Yaourts à boire nature 0% matière grasse ACTIMEL ,les 12 bouteilles de 100g,4.03,3.36,120,28,0.1,0.03,3.3,3.3,2.8,0.1,,0,0.12,0.21,,
https://www.carrefour.fr/p/yaourts-bio-de-brebis-nature-le-petit-basque-3280240044553?t=R04F06,Yaourts bio de brebis nature LE PETIT BASQUE ,les 2 pots de 125 g,1.80,7.20,404,97,6.6,4.7,4,2.7,5.4,0.13,,,,,,
https://www.carrefour.fr/p/yaourts-bio-de-brebis-vanille-le-petit-basque-3280240047776?t=R04F06,Yaourts bio de brebis vanille LE PETIT BASQUE ,les 2 pots de 125 g,1.66,6.64,469,112,6.1,4.1,9.3,8.4,5,0.1,,,,,,
https://www.carrefour.fr/p/yaourts-bio-arome-citron-pechalou-3339526071018?t=R04F06,Yaourts bio arôme citron PECHALOU ,les 4 pots de 125 g,2.35,4.70,341,82,3.2,0,10,0,3.2,0,,,,,,
https://www.carrefour.fr/p/yaourts-bio-nature-savoie-yaourt-3277390001000?t=R04F06,Yaourts bio nature SAVOIE YAOURT ,les 4 pots de 125 g,1.96,3.92,289,69,3.7,2.5,5.3,5.3,3.8,0.1,,,,,,
https://www.carrefour.fr/p/yaourts-bio-lait-de-chevre-vanille-vrai-3273220540886?t=R04F06,Yaourts bio lait de chèvre vanille VRAI ,les 2 pots de 125 g,1.68,6.72,435,104,4.4,3.4,11.8,11.8,4.2,0.07,,,,,,
https://www.carrefour.fr/p/yaourts-bio-lait-de-brebis-nature-vrai-3273220540015?t=R04F06,Yaourts bio lait de brebis nature VRAI ,les 2 pots de 125 g,1.35,5.40,361,87,5.8,3.9,3.8,3.2,4.8,0.1,,,,,,
https://www.carrefour.fr/p/yaourts-bio-au-lait-de-chevre-nature-vrai-3273220540855?t=R04F06,Yaourts bio au lait de chèvre nature VRAI ,les 2 pots de 125 g,1.39,5.56,321,77,4.9,3.8,3.5,3.5,4.7,0.07,,,,,,
https://www.carrefour.fr/p/yaourts-bio-nature-0-vrai-3273220530375?t=R04F06,Yaourts bio nature 0% VRAI ,les 4 pots de 125 g,1.25,2.50,198,47,0.1,0,6.5,5,4.9,0.15,,,,,,
https://www.carrefour.fr/p/yaourts-bio-de-brebis-vanille-vrai-3273220540695?t=R04F06,Yaourts bio de brebis vanille VRAI ,les 2 pots de 125 g,1.55,6.20,387,92,2.7,1.8,11.6,10.2,5.3,0.1,,,,,,
https://www.carrefour.fr/p/creme-dessert-bio-chocolat-au-lait-de-brebis-carrefour-bio-3560071182663?t=R04F06,Crème dessert bio chocolat au lait de brebis CARREFOUR BIO ,les 2 pots de 100g,1.64,8.20,655,156,6.5,4.5,18,13,5.4,0.1,,,,,,
